fips,countyname,state,type,typename,death,obesity,uninsured,childpoverty,longcomute,overdose,income,nhwhite
42103,Pike County,PA,1,Exurbs,5999.995129,0.281,0.086058244,0.157,0.585,11,60082,0.81008603
45063,Lexington County,SC,1,Exurbs,7335.171539,0.34,0.111067484,0.167,0.365,8,57623,0.753679297
45091,York County,SC,1,Exurbs,7063.056071,0.316,0.104261448,0.142,0.421,7,61044,0.711104492
46033,Custer County,SD,1,Exurbs,6181.162912,0.318,0.12750124,0.187,0.393,9,51223,0.903676128
46083,Lincoln County,SD,1,Exurbs,3133.691726,0.292,0.057575948,0.038,0.148,3,84610,0.935504599
47009,Blount County,TN,1,Exurbs,8153.250958,0.33,0.108997712,0.161,0.357,11,51233,0.912061864
47021,Cheatham County,TN,1,Exurbs,9106.726163,0.372,0.112817797,0.164,0.581,13,58555,0.930641926
47043,Dickson County,TN,1,Exurbs,9711.622097,0.356,0.117922126,0.2,0.466,9,52144,0.89817903
47047,Fayette County,TN,1,Exurbs,8226.215556,0.312,0.097618819,0.219,0.61,7,56724,0.682470321
47147,Robertson County,TN,1,Exurbs,8588.753845,0.352,0.113205294,0.16,0.489,7,58487,0.839904576
47149,Rutherford County,TN,1,Exurbs,6378.717077,0.361,0.105266929,0.131,0.418,7,61232,0.720708124
47165,Sumner County,TN,1,Exurbs,6941.927488,0.322,0.108662369,0.132,0.446,7,61134,0.85035793
47167,Tipton County,TN,1,Exurbs,9400.895146,0.346,0.103005921,0.233,0.547,8,54748,0.760305368
47187,Williamson County,TN,1,Exurbs,3798.059879,0.239,0.059941474,0.052,0.446,5,107942,0.852524109
47189,Wilson County,TN,1,Exurbs,6738.620429,0.336,0.092703705,0.109,0.485,9,70955,0.857118112
48021,Bastrop County,TX,1,Exurbs,7860.99187,0.336,0.207272348,0.191,0.536,6,56449,0.535699177
48039,Brazoria County,TX,1,Exurbs,6368.726388,0.309,0.156002149,0.131,0.482,7,74510,0.484682167
48071,Chambers County,TX,1,Exurbs,8251.106063,0.273,0.155179925,0.126,0.456,8,80279,0.668863881
48085,Collin County,TX,1,Exurbs,4038.435047,0.262,0.10950275,0.072,0.456,5,90382,0.585327565
48091,Comal County,TX,1,Exurbs,6240.369923,0.275,0.159642752,0.13,0.466,7,76296,0.684905184
48121,Denton County,TX,1,Exurbs,4233.149381,0.223,0.128934751,0.093,0.468,5,80841,0.602532933
48139,Ellis County,TX,1,Exurbs,6536.157561,0.326,0.178819396,0.143,0.45,5,69448,0.618775186
48157,Fort Bend County,TX,1,Exurbs,4325.776727,0.246,0.127578772,0.11,0.575,4,90972,0.340561791
48167,Galveston County,TX,1,Exurbs,7660.395893,0.297,0.152181638,0.181,0.407,10,64155,0.577711266
48187,Guadalupe County,TX,1,Exurbs,5738.600765,0.323,0.148224102,0.136,0.407,5,67683,0.511744437
48209,Hays County,TX,1,Exurbs,4885.329609,0.258,0.159679741,0.134,0.473,5,64864,0.549024307
48251,Johnson County,TX,1,Exurbs,7429.331518,0.305,0.189261932,0.159,0.506,6,59809,0.731678038
48257,Kaufman County,TX,1,Exurbs,7891.966888,0.29,0.180738918,0.159,0.546,6,62363,0.657963667
48259,Kendall County,TX,1,Exurbs,5448.207529,0.266,0.162890045,0.109,0.447,5,83805,0.731405736
48339,Montgomery County,TX,1,Exurbs,5936.512584,0.259,0.156478496,0.142,0.499,8,72506,0.673002483
48367,Parker County,TX,1,Exurbs,7187.737118,0.316,0.158706819,0.13,0.511,7,67735,0.841858453
48397,Rockwall County,TX,1,Exurbs,4999.704836,0.26,0.13482609,0.073,0.591,5,97484,0.720721871
48491,Williamson County,TX,1,Exurbs,4498.531238,0.302,0.1133621,0.07,0.426,5,82370,0.605795528
48493,Wilson County,TX,1,Exurbs,7217.966789,0.324,0.160218378,0.144,0.578,4,66045,0.577578383
48497,Wise County,TX,1,Exurbs,7655.166527,0.306,0.184817795,0.181,0.472,6,57609,0.772507951
51007,Amelia County,VA,1,Exurbs,7605.925204,0.303,0.134252609,0.155,0.648,6,56172,0.726786959
51033,Caroline County,VA,1,Exurbs,8473.968825,0.317,0.121485176,0.15,0.544,6,55423,0.635628604
51041,Chesterfield County,VA,1,Exurbs,5682.031872,0.281,0.088832948,0.093,0.378,6,76260,0.625089599
51043,Clarke County,VA,1,Exurbs,4880.342746,0.268,0.111111111,0.091,0.508,8,76753,0.864199249
51047,Culpeper County,VA,1,Exurbs,7172.972665,0.306,0.125983485,0.134,0.52,7,67023,0.712676956
51061,Fauquier County,VA,1,Exurbs,5996.40246,0.245,0.094456809,0.072,0.606,8,91372,0.806222763
51065,Fluvanna County,VA,1,Exurbs,6194.723732,0.294,0.104371231,0.098,0.574,5,70005,0.787065586
51069,Frederick County,VA,1,Exurbs,6070.964275,0.301,0.1110116,0.099,0.346,8,69346,0.842420725
51075,Goochland County,VA,1,Exurbs,6150.156963,0.294,0.053211118,0.086,0.483,7,88815,0.77576319
51079,Greene County,VA,1,Exurbs,6941.988454,0.285,0.140131373,0.128,0.506,6,66170,0.83532084
51085,Hanover County,VA,1,Exurbs,6063.269537,0.29,0.073654324,0.065,0.359,5,83405,0.843876925
51093,Isle of Wight County,VA,1,Exurbs,6611.354156,0.322,0.090463234,0.124,0.489,5,70982,0.709558422
51095,James City County,VA,1,Exurbs,5402.090057,0.259,0.087372299,0.094,0.34,5,84035,0.760416107
51101,King William County,VA,1,Exurbs,7732.05147,0.257,0.099355959,0.115,0.683,6,68053,0.765458553
51109,Louisa County,VA,1,Exurbs,6383.3173,0.307,0.128383878,0.16,0.617,6,52671,0.781473493
51127,New Kent County,VA,1,Exurbs,7006.160081,0.289,0.096717961,0.083,0.632,6,84486,0.796803329
51137,Orange County,VA,1,Exurbs,7394.032524,0.284,0.118476273,0.137,0.553,7,64656,0.786170602
51145,Powhatan County,VA,1,Exurbs,5224.429096,0.296,0.094435076,0.082,0.6,5,78047,0.851879197
51153,Prince William Count,VA,1,Exurbs,4231.440444,0.288,0.111433241,0.097,0.619,5,97549,0.439329101
51157,Rappahannock County,VA,1,Exurbs,4731.09547,0.296,0.151148075,0.168,0.505,11,65278,0.886302112
51161,Roanoke County,VA,1,Exurbs,6089.225835,0.27,0.082163462,0.092,0.245,7,62306,0.862119939
51187,Warren County,VA,1,Exurbs,6994.28448,0.283,0.112245834,0.144,0.576,9,65434,0.875775763
51735,Poquoson city,VA,1,Exurbs,4098.884878,0.265,0.074002246,0.067,0.294,11,90119,0.918365649
53005,Benton County,WA,1,Exurbs,5525.585625,0.295,0.073740154,0.139,0.202,7,63474,0.710376589
53057,Skagit County,WA,1,Exurbs,6028.068449,0.254,0.097846293,0.12,0.301,11,60442,0.749597756
54003,Berkeley County,WV,1,Exurbs,8729.536579,0.35,0.073116815,0.178,0.365,14,56966,0.847839683
54037,Jefferson County,WV,1,Exurbs,6401.79877,0.36,0.069382017,0.122,0.535,12,71315,0.839039881
55089,Ozaukee County,WI,1,Exurbs,4157.845652,0.256,0.039754532,0.048,0.353,4,85706,0.917555541
55109,St. Croix County,WI,1,Exurbs,4724.485885,0.265,0.043237367,0.062,0.447,4,75619,0.941894149
55127,Walworth County,WI,1,Exurbs,6488.219396,0.249,0.081970909,0.12,0.331,7,58904,0.854058412
55133,Waukesha County,WI,1,Exurbs,4560.720521,0.253,0.036571798,0.054,0.331,6,82080,0.889170833
56019,Johnson County,WY,1,Exurbs,6920.132875,0.211,0.14943385,0.104,0.273,8,56323,0.912444026
1003,Baldwin County,AL,2,Graying America,7467.596664,0.293,0.115243966,0.176,0.401,10,56460,0.832021979
2100,Haines Borough,AK,2,Graying America,3863.885935,0.248,0.221264368,0.168,0.045,11,53471,0.779647436
2105,Hoonah-Angoon Census,AK,2,Graying America,4038.190713,0.321,0.24405436,0.354,0.04,,53884,0.452358037
2122,Kenai Peninsula Boro,AK,2,Graying America,7549.000142,0.286,0.189147673,0.162,0.156,12,68501,0.806994154
2170,Matanuska-Susitna Bo,AK,2,Graying America,7012.871245,0.311,0.167467994,0.102,0.416,12,71793,0.797537489
2198,Prince of Wales-Hyde,AK,2,Graying America,5953.222263,0.344,0.25161987,0.252,0.109,7,48888,0.449661257
2230,Skagway Municipality,AK,2,Graying America,,0.287,0.16807611,0.092,0.011,,65112,0.820772059
4007,Gila County,AZ,2,Graying America,12809.02894,0.275,0.135537321,0.335,0.175,15,40747,0.627530062
4011,Greenlee County,AZ,2,Graying America,7339.314553,0.295,0.0728842,0.136,0.183,11,61110,0.474253615
4012,La Paz County,AZ,2,Graying America,13045.84454,0.281,0.210586042,0.379,0.108,15,34285,0.574543486
4015,Mohave County,AZ,2,Graying America,10556.51866,0.304,0.139759893,0.287,0.166,14,42003,0.77730464
4021,Pinal County,AZ,2,Graying America,6651.854176,0.326,0.126349746,0.215,0.524,9,52642,0.577763177
4025,Yavapai County,AZ,2,Graying America,8546.432034,0.233,0.132029686,0.197,0.263,15,49824,0.807764606
5097,Montgomery County,AR,2,Graying America,9227.703471,0.357,0.134262767,0.373,0.435,9,36435,0.912264895
6003,Alpine County,CA,2,Graying America,,0.228,0.09562212,0.339,0.442,4,57481,0.677871149
6005,Amador County,CA,2,Graying America,6213.510819,0.253,0.068954248,0.168,0.392,12,59789,0.788673996
6009,Calaveras County,CA,2,Graying America,7306.201415,0.258,0.071430741,0.204,0.562,11,57990,0.817072901
6015,Del Norte County,CA,2,Graying America,8127.884267,0.245,0.081063391,0.3,0.094,10,39458,0.629520697
6027,Inyo County,CA,2,Graying America,6345.426271,0.239,0.088687201,0.188,0.129,8,53350,0.633542769
6033,Lake County,CA,2,Graying America,11667.0154,0.263,0.102970218,0.299,0.388,15,40818,0.710992576
6035,Lassen County,CA,2,Graying America,6416.001874,0.257,0.05664794,0.193,0.181,14,49793,0.662131519
6043,Mariposa County,CA,2,Graying America,7338.749782,0.248,0.078525147,0.276,0.419,12,51233,0.805743825
6045,Mendocino County,CA,2,Graying America,8000.301334,0.249,0.120104966,0.268,0.21,12,45247,0.654551057
6049,Modoc County,CA,2,Graying America,10390.74513,0.23,0.107115992,0.302,0.157,15,42890,0.769528141
6051,Mono County,CA,2,Graying America,3933.470467,0.228,0.120107735,0.148,0.208,5,56574,0.652957585
6063,Plumas County,CA,2,Graying America,9548.605092,0.233,0.087462908,0.226,0.309,14,53646,0.832930692
6091,Sierra County,CA,2,Graying America,6718.113933,0.224,0.095928872,0.204,0.439,13,48099,0.839158466
6093,Siskiyou County,CA,2,Graying America,9534.135435,0.238,0.092997812,0.273,0.219,12,40875,0.766346352
